time,enrolled,available,waitlisted,total
2022-11-05T20:13:48,0,28,0,28
2022-11-05T20:23:05,0,28,0,28
2022-11-05T20:32:22,0,28,0,28
2022-11-05T20:41:50,0,28,0,28
2022-11-05T20:51:06,0,28,0,28
2022-11-05T21:00:21,0,28,0,28
2022-11-05T21:09:37,0,28,0,28
2022-11-05T21:18:52,0,28,0,28
2022-11-05T21:28:07,0,28,0,28
2022-11-05T21:37:23,0,28,0,28
2022-11-05T21:46:39,0,28,0,28
2022-11-05T21:55:55,0,28,0,28
2022-11-05T22:05:10,0,28,0,28
2022-11-05T22:14:25,0,28,0,28
2022-11-05T22:23:40,0,28,0,28
2022-11-05T22:32:56,0,28,0,28
2022-11-05T22:42:14,0,28,0,28
2022-11-05T22:51:29,0,28,0,28
2022-11-05T23:00:45,0,28,0,28
2022-11-05T23:10:02,0,28,0,28
2022-11-05T23:19:18,0,28,0,28
2022-11-05T23:28:34,0,28,0,28
2022-11-05T23:37:51,0,28,0,28
2022-11-05T23:47:08,0,28,0,28
2022-11-05T23:56:24,0,28,0,28
2022-11-06T00:05:49,0,28,0,28
2022-11-06T00:15:06,0,28,0,28
2022-11-06T00:24:21,0,28,0,28
2022-11-06T00:33:37,0,28,0,28
2022-11-06T00:42:53,0,28,0,28
2022-11-06T00:52:08,0,28,0,28
2022-11-06T01:01:23,0,28,0,28
2022-11-06T01:10:38,0,28,0,28
2022-11-06T01:19:54,0,28,0,28
2022-11-06T01:29:10,0,28,0,28
2022-11-06T01:38:26,0,28,0,28
2022-11-06T01:47:41,0,28,0,28
2022-11-06T01:56:58,0,28,0,28
2022-11-06T01:06:14,0,28,0,28
2022-11-06T01:15:31,0,28,0,28
2022-11-06T01:24:46,0,28,0,28
2022-11-06T01:34:02,0,28,0,28
2022-11-06T01:43:17,0,28,0,28
2022-11-06T01:52:36,0,28,0,28
2022-11-06T02:01:55,0,28,0,28
2022-11-06T02:11:13,0,28,0,28
2022-11-06T02:20:32,0,28,0,28
2022-11-06T02:29:53,0,28,0,28
2022-11-06T02:39:12,0,28,0,28
2022-11-06T02:48:31,0,28,0,28
2022-11-06T02:57:50,0,28,0,28
2022-11-06T03:07:08,0,28,0,28
2022-11-06T03:16:25,0,28,0,28
2022-11-06T03:25:42,0,28,0,28
2022-11-06T03:35:00,0,28,0,28
2022-11-06T03:44:20,0,28,0,28
2022-11-06T03:53:40,0,28,0,28
2022-11-06T04:02:59,0,28,0,28
2022-11-06T04:18:18,0,28,0,28
2022-11-06T04:27:38,0,28,0,28
2022-11-06T04:36:57,0,28,0,28
2022-11-06T04:47:24,0,28,0,28
2022-11-06T04:56:59,0,28,0,28
2022-11-06T05:06:17,0,28,0,28
2022-11-06T05:15:34,0,28,0,28
2022-11-06T05:24:50,0,28,0,28
2022-11-06T05:34:08,0,28,0,28
2022-11-06T05:43:22,0,28,0,28
2022-11-06T05:52:39,0,28,0,28
2022-11-06T06:01:57,0,28,0,28
2022-11-06T06:11:16,0,28,0,28
2022-11-06T06:20:35,0,28,0,28
2022-11-06T06:29:52,0,28,0,28
2022-11-06T06:39:08,0,28,0,28
2022-11-06T06:48:24,0,28,0,28
2022-11-06T06:57:40,0,28,0,28
2022-11-06T07:06:57,0,28,0,28
2022-11-06T07:16:14,0,28,0,28
2022-11-06T07:25:31,0,28,0,28
2022-11-06T07:34:49,0,28,0,28
2022-11-06T07:44:08,0,28,0,28
2022-11-06T07:53:26,0,28,0,28
2022-11-06T08:02:42,0,28,0,28
2022-11-06T08:11:59,0,28,0,28
2022-11-06T08:21:16,0,28,0,28
2022-11-06T08:30:34,0,28,0,28
2022-11-06T08:39:50,0,28,0,28
2022-11-06T08:49:06,0,28,0,28
2022-11-06T08:58:24,0,28,0,28
2022-11-06T09:07:40,0,28,0,28
2022-11-06T09:16:55,0,28,0,28
2022-11-06T09:26:08,0,28,0,28
2022-11-06T09:35:22,0,28,0,28
2022-11-06T09:44:36,0,28,0,28
2022-11-06T09:53:50,0,28,0,28
2022-11-06T10:03:03,0,28,0,28
2022-11-06T10:12:17,0,28,0,28
2022-11-06T10:21:30,0,28,0,28
2022-11-06T10:30:47,0,28,0,28
2022-11-06T10:40:01,0,28,0,28
2022-11-06T10:49:16,0,28,0,28
