time,enrolled,available,waitlisted,total
2022-11-05T20:16:18,0,20,0,20
2022-11-05T20:25:36,0,20,0,20
2022-11-05T20:34:52,0,20,0,20
2022-11-05T20:44:20,0,20,0,20
2022-11-05T20:53:36,0,20,0,20
2022-11-05T21:02:52,0,20,0,20
2022-11-05T21:12:06,0,20,0,20
2022-11-05T21:21:22,0,20,0,20
2022-11-05T21:30:38,0,20,0,20
2022-11-05T21:39:54,0,20,0,20
2022-11-05T21:49:10,0,20,0,20
2022-11-05T21:58:24,0,20,0,20
2022-11-05T22:07:40,0,20,0,20
2022-11-05T22:16:55,0,20,0,20
2022-11-05T22:26:10,0,20,0,20
2022-11-05T22:35:27,0,20,0,20
2022-11-05T22:44:44,0,20,0,20
2022-11-05T22:53:59,0,20,0,20
2022-11-05T23:03:15,0,20,0,20
2022-11-05T23:12:32,0,20,0,20
2022-11-05T23:21:48,0,20,0,20
2022-11-05T23:31:07,0,20,0,20
2022-11-05T23:40:22,0,20,0,20
2022-11-05T23:49:38,0,20,0,20
2022-11-05T23:58:54,0,20,0,20
2022-11-06T00:08:19,0,20,0,20
2022-11-06T00:17:36,0,20,0,20
2022-11-06T00:26:52,0,20,0,20
2022-11-06T00:36:07,0,20,0,20
2022-11-06T00:45:23,0,20,0,20
2022-11-06T00:54:38,0,20,0,20
2022-11-06T01:03:53,0,20,0,20
2022-11-06T01:13:08,0,20,0,20
2022-11-06T01:22:24,0,20,0,20
2022-11-06T01:31:40,0,20,0,20
2022-11-06T01:40:56,0,20,0,20
2022-11-06T01:50:11,0,20,0,20
2022-11-06T01:59:28,0,20,0,20
2022-11-06T01:08:45,0,20,0,20
2022-11-06T01:18:01,0,20,0,20
2022-11-06T01:27:16,0,20,0,20
2022-11-06T01:36:32,0,20,0,20
2022-11-06T01:45:48,0,20,0,20
2022-11-06T01:55:07,0,20,0,20
2022-11-06T02:04:25,0,20,0,20
2022-11-06T02:13:44,0,20,0,20
2022-11-06T02:23:03,0,20,0,20
2022-11-06T02:32:24,0,20,0,20
2022-11-06T02:41:43,0,20,0,20
2022-11-06T02:51:02,0,20,0,20
2022-11-06T03:00:21,0,20,0,20
2022-11-06T03:09:39,0,20,0,20
2022-11-06T03:18:55,0,20,0,20
2022-11-06T03:28:12,0,20,0,20
2022-11-06T03:37:31,0,20,0,20
2022-11-06T03:46:51,0,20,0,20
2022-11-06T03:56:11,0,20,0,20
2022-11-06T04:05:30,0,20,0,20
2022-11-06T04:20:49,0,20,0,20
2022-11-06T04:30:08,0,20,0,20
2022-11-06T04:39:27,0,20,0,20
2022-11-06T04:49:56,0,20,0,20
2022-11-06T04:59:30,0,20,0,20
2022-11-06T05:08:48,0,20,0,20
2022-11-06T05:18:05,0,20,0,20
2022-11-06T05:27:21,0,20,0,20
2022-11-06T05:36:38,0,20,0,20
2022-11-06T05:45:52,0,20,0,20
2022-11-06T05:55:10,0,20,0,20
2022-11-06T06:04:29,0,20,0,20
2022-11-06T06:13:47,0,20,0,20
2022-11-06T06:23:06,0,20,0,20
2022-11-06T06:32:22,0,20,0,20
2022-11-06T06:41:38,0,20,0,20
2022-11-06T06:50:54,0,20,0,20
2022-11-06T07:00:10,0,20,0,20
2022-11-06T07:09:27,0,20,0,20
2022-11-06T07:18:45,0,20,0,20
2022-11-06T07:28:02,0,20,0,20
2022-11-06T07:37:20,0,20,0,20
2022-11-06T07:46:40,0,20,0,20
2022-11-06T07:55:57,0,20,0,20
2022-11-06T08:05:13,0,20,0,20
2022-11-06T08:14:30,0,20,0,20
2022-11-06T08:23:47,0,20,0,20
2022-11-06T08:33:04,0,20,0,20
2022-11-06T08:42:21,0,20,0,20
2022-11-06T08:51:37,0,20,0,20
2022-11-06T09:00:55,0,20,0,20
2022-11-06T09:10:09,0,20,0,20
2022-11-06T09:19:24,0,20,0,20
2022-11-06T09:28:38,0,20,0,20
2022-11-06T09:37:51,0,20,0,20
2022-11-06T09:47:05,0,20,0,20
2022-11-06T09:56:20,0,20,0,20
2022-11-06T10:05:33,0,20,0,20
2022-11-06T10:14:46,0,20,0,20
2022-11-06T10:24:00,0,20,0,20
2022-11-06T10:33:17,0,20,0,20
2022-11-06T10:42:31,0,20,0,20
2022-11-06T10:51:46,0,20,0,20
2022-11-06T11:01:01,0,20,0,20
2022-11-06T11:10:15,0,20,0,20
2022-11-06T11:19:31,0,20,0,20
2022-11-06T11:28:52,0,20,0,20
2022-11-06T11:38:11,0,20,0,20
2022-11-06T11:47:26,0,20,0,20
2022-11-06T11:56:40,0,20,0,20
2022-11-06T12:05:54,0,20,0,20
2022-11-06T12:15:10,0,20,0,20
2022-11-06T12:24:35,0,20,0,20
2022-11-06T12:33:49,0,20,0,20
2022-11-06T12:43:04,0,20,0,20
2022-11-06T12:52:18,0,20,0,20
2022-11-06T13:01:32,0,20,0,20
2022-11-06T13:10:47,0,20,0,20
2022-11-06T13:20:03,0,20,0,20
2022-11-06T13:29:18,0,20,0,20
2022-11-06T13:38:32,0,20,0,20
2022-11-06T13:47:45,0,20,0,20
2022-11-06T13:56:59,0,20,0,20
2022-11-06T14:06:15,0,20,0,20
2022-11-06T14:15:30,0,20,0,20
2022-11-06T14:24:53,0,20,0,20
2022-11-06T14:34:06,0,20,0,20
2022-11-06T14:43:22,0,20,0,20
2022-11-06T14:52:38,0,20,0,20
2022-11-06T15:01:51,0,20,0,20
2022-11-06T15:11:05,0,20,0,20
2022-11-06T15:20:18,0,20,0,20
2022-11-06T15:29:32,0,20,0,20
2022-11-06T15:38:45,0,20,0,20
2022-11-06T15:48:00,0,20,0,20
2022-11-06T15:57:12,0,20,0,20
2022-11-06T16:06:25,0,20,0,20
2022-11-06T16:15:49,0,20,0,20
2022-11-06T16:25:04,0,20,0,20
2022-11-06T16:34:21,0,20,0,20
2022-11-06T16:43:36,0,20,0,20
2022-11-06T16:52:51,0,20,0,20
2022-11-06T17:02:06,0,20,0,20
2022-11-06T17:11:20,0,20,0,20
2022-11-06T17:20:35,0,20,0,20
2022-11-06T17:29:50,0,20,0,20
2022-11-06T17:39:06,0,20,0,20
2022-11-06T17:48:30,0,20,0,20
2022-11-06T17:57:45,0,20,0,20
2022-11-06T18:07:00,0,20,0,20
2022-11-06T18:16:16,0,20,0,20
2022-11-06T18:25:31,0,20,0,20
2022-11-06T18:34:44,0,20,0,20
2022-11-06T18:43:58,0,20,0,20
2022-11-06T18:53:12,0,20,0,20
2022-11-06T19:02:27,0,20,0,20
2022-11-06T19:11:51,0,20,0,20
2022-11-06T19:21:06,0,20,0,20
2022-11-06T19:30:21,0,20,0,20
2022-11-06T19:39:34,0,20,0,20
2022-11-06T19:48:48,0,20,0,20
2022-11-06T19:58:02,0,20,0,20
2022-11-06T20:07:16,0,20,0,20
2022-11-06T20:16:30,0,20,0,20
2022-11-06T20:25:45,0,20,0,20
2022-11-06T20:34:59,0,20,0,20
2022-11-06T20:44:22,0,20,0,20
2022-11-06T20:53:36,0,20,0,20
2022-11-06T21:02:50,0,20,0,20
2022-11-06T21:12:05,0,20,0,20
2022-11-06T21:21:17,0,20,0,20
2022-11-06T21:30:30,0,20,0,20
2022-11-06T21:39:44,0,20,0,20
2022-11-06T21:48:59,0,20,0,20
2022-11-06T21:58:24,0,20,0,20
2022-11-06T22:07:39,0,20,0,20
2022-11-06T22:16:54,0,20,0,20
2022-11-06T22:26:09,0,20,0,20
2022-11-06T22:35:24,0,20,0,20
2022-11-06T22:44:38,0,20,0,20
2022-11-06T22:53:52,0,20,0,20
2022-11-06T23:03:09,0,20,0,20
2022-11-06T23:12:34,0,20,0,20
2022-11-06T23:21:49,0,20,0,20
2022-11-06T23:31:06,0,20,0,20
2022-11-06T23:40:21,0,20,0,20
2022-11-06T23:49:36,0,20,0,20
2022-11-06T23:58:52,0,20,0,20
2022-11-07T00:09:53,0,20,0,20
2022-11-07T00:19:14,0,20,0,20
2022-11-07T00:28:42,0,20,0,20
2022-11-07T00:38:00,0,20,0,20
2022-11-07T00:47:14,0,20,0,20
2022-11-07T00:56:28,0,20,0,20
2022-11-07T01:05:44,0,20,0,20
2022-11-07T01:15:04,0,20,0,20
2022-11-07T01:24:20,0,20,0,20
2022-11-07T01:33:35,0,20,0,20
