time,enrolled,available,waitlisted,total
2022-11-05T20:09:51,0,28,0,28
2022-11-05T20:19:09,0,28,0,28
2022-11-05T20:28:25,0,28,0,28
2022-11-05T20:37:53,0,28,0,28
2022-11-05T20:47:09,0,28,0,28
2022-11-05T20:56:25,0,28,0,28
2022-11-05T21:05:40,0,28,0,28
2022-11-05T21:14:56,0,28,0,28
2022-11-05T21:24:10,0,28,0,28
2022-11-05T21:33:27,0,28,0,28
2022-11-05T21:42:43,0,28,0,28
2022-11-05T21:51:59,0,28,0,28
2022-11-05T22:01:14,0,28,0,28
2022-11-05T22:10:29,0,28,0,28
2022-11-05T22:19:44,0,28,0,28
2022-11-05T22:28:59,0,28,0,28
2022-11-05T22:38:17,0,28,0,28
2022-11-05T22:47:33,0,28,0,28
2022-11-05T22:56:49,0,28,0,28
2022-11-05T23:06:05,0,28,0,28
2022-11-05T23:15:21,0,28,0,28
2022-11-05T23:24:38,0,28,0,28
2022-11-05T23:33:56,0,28,0,28
2022-11-05T23:43:11,0,28,0,28
2022-11-05T23:52:28,0,28,0,28
2022-11-06T00:01:43,0,28,0,28
2022-11-06T00:11:09,0,28,0,28
2022-11-06T00:20:25,0,28,0,28
2022-11-06T00:29:41,0,28,0,28
2022-11-06T00:38:56,0,28,0,28
2022-11-06T00:48:12,0,28,0,28
2022-11-06T00:57:27,0,28,0,28
2022-11-06T01:06:42,0,28,0,28
2022-11-06T01:15:57,0,28,0,28
2022-11-06T01:25:14,0,28,0,28
2022-11-06T01:34:29,0,28,0,28
2022-11-06T01:43:45,0,28,0,28
2022-11-06T01:53:01,0,28,0,28
2022-11-06T01:02:17,0,28,0,28
2022-11-06T01:11:34,0,28,0,28
2022-11-06T01:20:50,0,28,0,28
2022-11-06T01:30:06,0,28,0,28
2022-11-06T01:39:21,0,28,0,28
2022-11-06T01:48:37,0,28,0,28
2022-11-06T01:57:57,0,28,0,28
2022-11-06T02:07:15,0,28,0,28
2022-11-06T02:16:34,0,28,0,28
2022-11-06T02:25:54,0,28,0,28
2022-11-06T02:35:15,0,28,0,28
2022-11-06T02:44:33,0,28,0,28
2022-11-06T02:53:52,0,28,0,28
2022-11-06T03:03:11,0,28,0,28
2022-11-06T03:12:29,0,28,0,28
2022-11-06T03:21:45,0,28,0,28
2022-11-06T03:31:02,0,28,0,28
2022-11-06T03:40:22,0,28,0,28
2022-11-06T03:49:42,0,28,0,28
2022-11-06T03:59:01,0,28,0,28
2022-11-06T04:14:18,0,28,0,28
2022-11-06T04:23:40,0,28,0,28
2022-11-06T04:32:59,0,28,0,28
2022-11-06T04:42:18,0,28,0,28
2022-11-06T04:53:02,0,28,0,28
2022-11-06T05:02:20,0,28,0,28
2022-11-06T05:11:37,0,28,0,28
2022-11-06T05:20:54,0,28,0,28
2022-11-06T05:30:11,0,28,0,28
2022-11-06T05:39:26,0,28,0,28
2022-11-06T05:48:42,0,28,0,28
2022-11-06T05:58:00,0,28,0,28
2022-11-06T06:07:19,0,28,0,28
2022-11-06T06:16:37,0,28,0,28
2022-11-06T06:25:55,0,28,0,28
2022-11-06T06:35:12,0,28,0,28
