time,enrolled,available,waitlisted,total
2022-11-05T20:17:50,0,150,0,150
2022-11-05T20:27:07,0,150,0,150
2022-11-05T20:36:34,0,150,0,150
2022-11-05T20:45:50,0,150,0,150
2022-11-05T20:55:06,0,150,0,150
2022-11-05T21:04:22,0,150,0,150
2022-11-05T21:13:37,0,150,0,150
2022-11-05T21:22:52,0,150,0,150
2022-11-05T21:32:08,0,150,0,150
2022-11-05T21:41:25,0,150,0,150
2022-11-05T21:50:40,0,150,0,150
2022-11-05T21:59:55,0,150,0,150
2022-11-05T22:09:10,0,150,0,150
2022-11-05T22:18:25,0,150,0,150
2022-11-05T22:27:40,0,150,0,150
2022-11-05T22:36:58,0,150,0,150
2022-11-05T22:46:14,0,150,0,150
2022-11-05T22:55:30,0,150,0,150
2022-11-05T23:04:46,0,150,0,150
2022-11-05T23:14:02,0,150,0,150
2022-11-05T23:23:19,0,150,0,150
2022-11-05T23:32:37,0,150,0,150
2022-11-05T23:41:52,0,150,0,150
2022-11-05T23:51:09,0,150,0,150
2022-11-06T00:00:24,0,150,0,150
2022-11-06T00:09:50,0,150,0,150
2022-11-06T00:19:06,0,150,0,150
2022-11-06T00:28:22,0,150,0,150
2022-11-06T00:37:37,0,150,0,150
2022-11-06T00:46:53,0,150,0,150
2022-11-06T00:56:08,0,150,0,150
2022-11-06T01:05:23,0,150,0,150
2022-11-06T01:14:38,0,150,0,150
2022-11-06T01:23:55,0,150,0,150
2022-11-06T01:33:11,0,150,0,150
2022-11-06T01:42:27,0,150,0,150
2022-11-06T01:51:43,0,150,0,150
2022-11-06T01:00:58,0,150,0,150
2022-11-06T01:10:15,0,150,0,150
2022-11-06T01:19:31,0,150,0,150
2022-11-06T01:28:47,0,150,0,150
2022-11-06T01:38:03,0,150,0,150
2022-11-06T01:47:18,0,150,0,150
2022-11-06T01:56:38,0,150,0,150
2022-11-06T02:05:56,0,150,0,150
2022-11-06T02:15:15,0,150,0,150
2022-11-06T02:24:35,0,150,0,150
2022-11-06T02:33:55,0,150,0,150
2022-11-06T02:43:14,0,150,0,150
2022-11-06T02:52:33,0,150,0,150
2022-11-06T03:01:52,0,150,0,150
2022-11-06T03:11:10,0,150,0,150
2022-11-06T03:20:26,0,150,0,150
2022-11-06T03:29:43,0,150,0,150
2022-11-06T03:39:02,0,150,0,150
2022-11-06T03:48:22,0,150,0,150
2022-11-06T03:57:42,0,150,0,150
2022-11-06T04:22:20,0,150,0,150
2022-11-06T04:31:40,0,150,0,150
2022-11-06T04:40:58,0,150,0,150
2022-11-06T04:51:43,0,150,0,150
2022-11-06T05:01:00,0,150,0,150
2022-11-06T05:10:18,0,150,0,150
2022-11-06T05:19:35,0,150,0,150
2022-11-06T05:28:52,0,150,0,150
2022-11-06T05:38:08,0,150,0,150
2022-11-06T05:47:23,0,150,0,150
2022-11-06T05:56:41,0,150,0,150
2022-11-06T06:06:00,0,150,0,150
2022-11-06T06:15:18,0,150,0,150
2022-11-06T06:24:36,0,150,0,150
2022-11-06T06:33:53,0,150,0,150
2022-11-06T06:43:09,0,150,0,150
2022-11-06T06:52:25,0,150,0,150
2022-11-06T07:01:41,0,150,0,150
2022-11-06T07:10:58,0,150,0,150
2022-11-06T07:20:15,0,150,0,150
2022-11-06T07:29:33,0,150,0,150
2022-11-06T07:38:52,0,150,0,150
2022-11-06T07:48:10,0,150,0,150
2022-11-06T07:57:27,0,150,0,150
2022-11-06T08:06:44,0,150,0,150
2022-11-06T08:16:01,0,150,0,150
2022-11-06T08:25:18,0,150,0,150
2022-11-06T08:34:35,0,150,0,150
2022-11-06T08:43:52,0,150,0,150
2022-11-06T08:53:08,0,150,0,150
2022-11-06T09:02:25,0,150,0,150
2022-11-06T09:11:40,0,150,0,150
2022-11-06T09:20:54,0,150,0,150
2022-11-06T09:30:08,0,150,0,150
2022-11-06T09:39:21,0,150,0,150
2022-11-06T09:48:36,0,150,0,150
2022-11-06T09:57:50,0,150,0,150
2022-11-06T10:07:03,0,150,0,150
2022-11-06T10:16:16,0,150,0,150
2022-11-06T10:25:30,0,150,0,150
2022-11-06T10:34:47,0,150,0,150
2022-11-06T10:44:02,0,150,0,150
2022-11-06T10:53:16,0,150,0,150
2022-11-06T11:02:32,0,150,0,150
2022-11-06T11:11:45,0,150,0,150
2022-11-06T11:21:02,0,150,0,150
2022-11-06T11:30:23,0,150,0,150
2022-11-06T11:39:42,0,150,0,150
2022-11-06T11:48:56,0,150,0,150
2022-11-06T11:58:10,0,150,0,150
2022-11-06T12:07:24,0,150,0,150
2022-11-06T12:16:40,0,150,0,150
2022-11-06T12:26:06,0,150,0,150
2022-11-06T12:35:19,0,150,0,150
2022-11-06T12:44:34,0,150,0,150
2022-11-06T12:53:48,0,150,0,150
2022-11-06T13:03:02,0,150,0,150
2022-11-06T13:12:17,0,150,0,150
2022-11-06T13:21:33,0,150,0,150
2022-11-06T13:30:48,0,150,0,150
2022-11-06T13:40:02,0,150,0,150
2022-11-06T13:49:15,0,150,0,150
2022-11-06T13:58:29,0,150,0,150
2022-11-06T14:07:45,0,150,0,150
2022-11-06T14:17:00,0,150,0,150
2022-11-06T14:26:23,0,150,0,150
2022-11-06T14:35:36,0,150,0,150
2022-11-06T14:44:53,0,150,0,150
2022-11-06T14:54:08,0,150,0,150
2022-11-06T15:03:21,0,150,0,150
2022-11-06T15:12:35,0,150,0,150
2022-11-06T15:21:48,0,150,0,150
2022-11-06T15:31:02,0,150,0,150
2022-11-06T15:40:15,0,150,0,150
2022-11-06T15:49:30,0,150,0,150
2022-11-06T15:58:42,0,150,0,150
2022-11-06T16:07:55,0,150,0,150
2022-11-06T16:17:19,0,150,0,150
2022-11-06T16:26:35,0,150,0,150
2022-11-06T16:35:51,0,150,0,150
2022-11-06T16:45:06,0,150,0,150
2022-11-06T16:54:21,0,150,0,150
2022-11-06T17:03:36,0,150,0,150
2022-11-06T17:12:51,0,150,0,150
2022-11-06T17:22:06,0,150,0,150
2022-11-06T17:31:21,0,150,0,150
2022-11-06T17:40:36,0,150,0,150
2022-11-06T17:50:00,0,150,0,150
2022-11-06T17:59:15,0,150,0,150
2022-11-06T18:08:31,0,150,0,150
2022-11-06T18:17:47,0,150,0,150
2022-11-06T18:27:01,0,150,0,150
2022-11-06T18:36:14,0,150,0,150
2022-11-06T18:45:28,0,150,0,150
2022-11-06T18:54:43,0,150,0,150
